9,"MICROBIOLOGIA MEDICA","JAWETZ, ERNEST","616 J","",10
14,"DERECHO ROMANO, DERECHO MODERNO, DERECHO DE FAMILIA Y JURISPRUDENCIA","VISO, LUIS R.","340V","",16
15,"DERECHO ROMANO, DERECHO MODERNO, DERECHO DE FAMILIA Y JURISPRUDENCIA","VISO, LUIS R.","340V","",4
16,"DERECHO ROMANO, DERECHO MODERNO, DERECHO DE FAMILIA Y JURISPRUDENCIA","VISO, LUIS R.","340V","",9
17,"DERECHO ROMANO, DERECHO MODERNO, DERECHO DE FAMILIA Y JURISPRUDENCIA","VISO, LUIS R.","340V","",2
18,"DERECHO ROMANO, DERECHO MODERNO, DERECHO DE FAMILIA Y JURISPRUDENCIA","VISO, LUIS R.","340V","",15
19,"DERECHO ROMANO, DERECHO MODERNO, DERECHO DE FAMILIA Y JURISPRUDENCIA","VISO, LUIS R.","340V","",25
20,"DERECHO ROMANO, DERECHO MODERNO, DERECHO DE FAMILIA Y JURISPRUDENCIA","VISO, LUIS R.","340V","",9
21,"DERECHO ROMANO, DERECHO MODERNO, DERECHO DE FAMILIA Y JURISPRUDENCIA","VISO, LUIS R.","340V","",10
22,"DERECHO ROMANO, DERECHO MODERNO, DERECHO DE FAMILIA Y JURISPRUDENCIA","VISO, LUIS R.","340 V","",15
23,"DERECHO ROMANO, DERECHO MODERNO, DERECHO DE FAMILIA Y JURISPRUDENCIA","VISO, LUIS R.","340V","",3
24,"CALCULO DIFERENCIAL E INTEGRAL","GRANVILLE, WILLIAM","515 G","",11
26,"CALCULO DIFERENCIAL E INTEGRAL","GRANVILLE,WILLIAM ANTHONY","515 G","",5
29,"DERECHO PROCESAL CIVIL","CUENCA, HUMBERTO","346C","",1
30,"DERECHO PROCESAL CIVIL","CUENCA, HUMBERTO","346C","",18
31,"DERECHO PROCESAL CIVIL","CUENCA, HUMBERTO","346C","",16
32,"DERECHO PROCESAL CIVIL","CUENCA, HUMBERTO","346C","",0
33,"DERECHO PROCESAL CIVIL","CUENCA, HUMBERTO","346C","",12
34,"DERECHO PROCESAL CIVIL","CUENCA, HUMBERTO","346C","",17
35,"DERECHO PROCESAL CIVIL","CUENCA, HUMBERTO","346C","",11
36,"DERECHO PROCESAL CIVIL","CUENCA, HUMBERTO","346C","",9
37,"DERECHO PROCESAL CIVIL","CUENCA, HUMBERTO","346C","",21
38,"DERECHO PROCESAL CIVIL","CUENCA, HUMBERTO","346C","",21
48,"MECANICA DE LOS FLUIDOS","STREETER, VICTOR","620 S","",6
49,"MICROBIOLOGIA","PELCZAR, MICHAEL","576 P","",18
50,"MICROBIOLOGIA","PELCZAR, MICHAEL","576 P","",35
54,"INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO","LA ROCHE, HUMBERTO J.","342L","",9
55,"INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO","LA ROCHE, HUMBERTO J.","342L","",2
56,"INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO","LA ROCHE, HUMBERTO J.","342L","",2
57,"INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO","LA ROCHE, HUMBERTO J.","342L","",1
58,"INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO","LA ROCHE, HUMBERTO J.","342L","",1
59,"INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO","LA ROCHE, HUMBERTO J.","342L","",0
60,"INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO","LA ROCHE, HUMBERTO J.","342L","",0
61,"INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO","LA ROCHE, HUMBERTO J.","342L","",0
62,"INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO","LA ROCHE, HUMBERTO J.","342L","",1
63,"INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO","LA ROCHE, HUMBERTO J.","342L","",7
64,"DICCIONARIO MEDICO","DORLAND","603 D","",4
66,"CALCULO DIFERENCIAL E INTEGRAL","AYRES, FRANK","515A","",19
68,"CALCULO DIFERENCIAL","","","",1
71,"CALCULO DIFERENCIAL E INTEGRAL","AYRES, FRANK","515 A","",11
74,"HISTORIA DE LAS DOCTRINAS ECONOMICAS","ROLL, ERIC","330R","",15
75,"HISTORIA DE LAS DOCTRINAS ECONOMICAS","ROLL, ERIC","330R","",15
76,"HISTORIA DE LAS DOCTRINAS ECONOMICAS","ROLL, ERIC","330R","",12
77,"HISTORIA DE LAS DOCTRINAS ECONOMICAS","ROLL, ERIC","330R","",13
78,"HISTORIA DE LAS DOCTRINAS ECONOMICAS","ROLL, ERIC","330R","",17
79,"HISTORIA DE LAS DOCTRINAS ECONOMICAS","ROLL, ERIC","330R","",5
80,"HISTORIA DE LAS DOCTRINAS ECONOMICAS","ROLL, ERIC","330R","",13
81,"HISTORIA DE LAS DOCTRINAS ECONOMICAS","ROLL, ERIC","330R","",4
82,"HISTORIA DE LAS DOCTRINAS ECONOMICAS","ROLL, ERIC","330R","KUWDKJA.SH",14
83,"HISTORIA DE LAS DOCTRINAS ECONOMICAS","ROLL, ERIC","330R","",0
85,"TECNICAS DE LA INVESTIGACION, LAS","BAVARESCO, AURA","001 B","",23
86,"TECNICAS DE LA INVESTIGACION, LAS","BAVARESCO, AURA","OO1 B","EDILUZ",16
87,"TECNICAS DE LA INVESTIGACION, LAS","BAVARESCO, AURA","001B","",24
88,"TECNICAS DE LA INVESTIGACION, LAS","BAVARESCO, AURA","001B","",25
93,"TECNICAS DE LA INVESTIGACION, LAS","BAVARESCO, AURA","001B","",1
94,"TEORIA MICROECONOMICA","FERGUNSON, C. E.","330 F","",17
95,"TEORIA MICROECONOMICA","FERGUNSON, C. E.","330F","",0
96,"TEORIA MICROECONOMICA","FERGUNSON, C. E.","330F","",9
97,"TEORIA MICROECONOMICA","FERGUNSON, C. E.","330F","",0
98,"DICCIONARIO MEDICO","DORLAND","603 D","",9
99,"TEORIA MICROECONOMICA","FERGUNSON, C. E.","330F","",12
100,"TEORIA MICROECONOMICA","FERGUNSON, C. E.","330F","",1
101,"TEORIA MICROECONOMICA","FERGUNSON, C. E.","330F","",0
102,"TEORIA MICROECONOMICA","FERGUNSON, C. E.","330 F","",10
103,"TEORIA MICROECONOMICA","FERGUNSON, C. E.","330F","",0
104,"PEDAGOGIA DEL OPRIMIDO","FREIRE, PAULO","370 F","",18
105,"PEDAGOGIA DEL OPRIMIDO","FREIRE, PAULO","370F","",6
106,"PEDAGOGIA DEL OPRIMIDO","FREIRE, PAULO","370F","",0
107,"PEDAGOGIA DEL OPRIMIDO","FREIRE, PAULO","370F","",8
108,"PEDAGOGIA DEL OPRIMIDO","FREIRE, PAULO","370F","",9
109,"PEDAGOGIA DEL OPRIMIDO","FREIRE, PAULO","370F","",6
110,"PEDAGOGIA DEL OPRIMIDO","FREIRE, PAULO","370F","",8
111,"PEDAGOGIA DEL OPRIMIDO","FREIRE, PAULO","370F","",5
112,"PEDAGOGIA DEL OPRIMIDO","FREIRE, PAULO","370F","",8
113,"PEDAGOGIA DEL OPRIMIDO","FREIRE, PAULO","370F","",6
114,"CONCEPTOS ELEMENTALES DEL MATERIALISMO HISTORICO, LOS","HARNECKER, MARTA","335H","",14
115,"CONCEPTOS ELEMENTALES DEL MATERIALISMO HISTORICO, LOS","HARNECKER, MARTA","335H","",15
116,"CONCEPTOS ELEMENTALES DEL MATERIALISMO HISTORICO, LOS","HARNECKER, MARTA","335H","",18
117,"CONCEPTOS ELEMENTALES DEL MATERIALISMO HISTORICO, LOS","HARNECKER, MARTA","335H","",16
118,"CONCEPTOS ELEMENTALES DEL MATERIALISMO HISTORICO, LOS","HARNECKER, MARTA","335H","",16
119,"CONCEPTOS ELEMENTALES DEL MATERIALISMO HISTORICO, LOS","HARNECKER, MARTA","335H","",1
120,"CONCEPTOS ELEMENTALES DEL MATERIALISMO HISTORICO, LOS","HARNECKER, MARTA","335H","",16
121,"CONCEPTOS ELEMENTALES DEL MATERIALISMO HISTORICO, LOS","HARNECKER, MARTA","335H","",10
122,"CONCEPTOS ELEMENTALES DEL MATERIALISMO HISTORICO, LOS","HARNECKER, MARTA","335H","",67
123,"CONCEPTOS ELEMENTALES DEL MATERIALISMO HISTORICO, LOS","HARNECKER, MARTA","335H","",42
124,"METODOLOGIA Y TECNICAS DE INVESTIGACION EN CIENCIAS SOCIALES","PARDINAS, FELIPE","OO1P","",11
125,"METODOLOGIA Y TECNICAS DE INVESTIGACION EN CIENCIAS SOCIALES","PARDINAS, FELIPE","001P","",8
126,"METODOLOGIA Y TECNICAS DE INVESTIGACION EN CIENCIAS SOCIALES","PARDINAS, FELIPE","001P","",6
127,"METODOLOGIA Y TECNICAS DE INVESTIGACION EN CIENCIAS SOCIALES","PARDINAS, FELIPE","001P","",12
