registro,titulo,autor,codmat
9,"MICROBIOLOGIA MEDICA","JAWETZ, ERNEST","616 J"
14,"DERECHO ROMANO, DERECHO MODERNO, DERECHO DE FAMILIA Y JURISPRUDENCIA","VISO, LUIS R.","340V"
15,"DERECHO ROMANO, DERECHO MODERNO, DERECHO DE FAMILIA Y JURISPRUDENCIA","VISO, LUIS R.","340V"
16,"DERECHO ROMANO, DERECHO MODERNO, DERECHO DE FAMILIA Y JURISPRUDENCIA","VISO, LUIS R.","340V"
17,"DERECHO ROMANO, DERECHO MODERNO, DERECHO DE FAMILIA Y JURISPRUDENCIA","VISO, LUIS R.","340V"
18,"DERECHO ROMANO, DERECHO MODERNO, DERECHO DE FAMILIA Y JURISPRUDENCIA","VISO, LUIS R.","340V"
19,"DERECHO ROMANO, DERECHO MODERNO, DERECHO DE FAMILIA Y JURISPRUDENCIA","VISO, LUIS R.","340V"
20,"DERECHO ROMANO, DERECHO MODERNO, DERECHO DE FAMILIA Y JURISPRUDENCIA","VISO, LUIS R.","340V"
21,"DERECHO ROMANO, DERECHO MODERNO, DERECHO DE FAMILIA Y JURISPRUDENCIA","VISO, LUIS R.","340V"
22,"DERECHO ROMANO, DERECHO MODERNO, DERECHO DE FAMILIA Y JURISPRUDENCIA","VISO, LUIS R.","340 V"
23,"DERECHO ROMANO, DERECHO MODERNO, DERECHO DE FAMILIA Y JURISPRUDENCIA","VISO, LUIS R.","340V"
24,"CALCULO DIFERENCIAL E INTEGRAL","GRANVILLE, WILLIAM","515 G"
26,"CALCULO DIFERENCIAL E INTEGRAL","GRANVILLE,WILLIAM ANTHONY","515 G"
29,"DERECHO PROCESAL CIVIL","CUENCA, HUMBERTO","346C"
30,"DERECHO PROCESAL CIVIL","CUENCA, HUMBERTO","346C"
31,"DERECHO PROCESAL CIVIL","CUENCA, HUMBERTO","346C"
32,"DERECHO PROCESAL CIVIL","CUENCA, HUMBERTO","346C"
33,"DERECHO PROCESAL CIVIL","CUENCA, HUMBERTO","346C"
34,"DERECHO PROCESAL CIVIL","CUENCA, HUMBERTO","346C"
35,"DERECHO PROCESAL CIVIL","CUENCA, HUMBERTO","346C"
36,"DERECHO PROCESAL CIVIL","CUENCA, HUMBERTO","346C"
37,"DERECHO PROCESAL CIVIL","CUENCA, HUMBERTO","346C"
38,"DERECHO PROCESAL CIVIL","CUENCA, HUMBERTO","346C"
48,"MECANICA DE LOS FLUIDOS","STREETER, VICTOR","620 S"
49,"MICROBIOLOGIA","PELCZAR, MICHAEL","576 P"
50,"MICROBIOLOGIA","PELCZAR, MICHAEL","576 P"
54,"INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO","LA ROCHE, HUMBERTO J.","342L"
55,"INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO","LA ROCHE, HUMBERTO J.","342L"
56,"INSTITUCIONES CONSTITUCIONALES DEL ESTADO VENEZOLANO","LA ROCHE, HUMBERTO J.","342L"
